Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
373.00	100.00	3.2334	0.30927	7.3365	10.429	172.30	21.980	32.784	381.06	0.12965	26.112	0.035575	supercritical
373.00	150.00	4.8200	0.20747	7.1171	10.229	168.40	22.157	34.101	392.12	0.10983	27.119	0.037801	supercritical
373.00	200.00	6.3540	0.15738	6.9077	10.055	165.52	22.313	35.250	405.60	0.090826	28.261	0.040275	supercritical
373.00	250.00	7.8157	0.12795	6.7103	9.9090	163.23	22.449	36.205	421.17	0.073294	29.544	0.042896	supercritical
373.00	300.00	9.1921	0.10879	6.5259	9.7896	161.33	22.569	36.964	438.45	0.057575	30.960	0.045586	supercritical
373.00	350.00	10.477	0.095446	6.3549	9.6955	159.71	22.676	37.544	457.02	0.043763	32.490	0.048284	supercritical
373.00	400.00	11.670	0.085690	6.1969	9.6245	158.31	22.771	37.972	476.48	0.031786	34.110	0.050949	supercritical
373.00	450.00	12.774	0.078283	6.0512	9.5739	157.08	22.857	38.277	496.51	0.021480	35.798	0.053555	supercritical
373.00	500.00	13.795	0.072490	5.9169	9.5414	155.98	22.935	38.486	516.84	0.012641	37.532	0.056093	supercritical
