Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
373.00	100.00	3.1223	0.32028	7.3431	10.546	158.81	21.269	31.683	421.90	0.078004	22.584	0.034519	supercritical
373.00	150.00	4.5725	0.21870	7.1568	10.437	155.00	21.436	32.688	440.18	0.057429	23.524	0.036905	supercritical
373.00	200.00	5.9286	0.16867	6.9842	10.358	152.22	21.589	33.511	460.48	0.039235	24.578	0.039322	supercritical
373.00	250.00	7.1850	0.13918	6.8254	10.305	150.03	21.731	34.163	482.28	0.023515	25.728	0.041761	supercritical
373.00	300.00	8.3424	0.11987	6.6802	10.276	148.23	21.864	34.667	505.10	0.010137	26.951	0.044221	supercritical
373.00	350.00	9.4057	0.10632	6.5476	10.269	146.69	21.989	35.050	528.49	-0.0011476	28.227	0.046695	supercritical
373.00	400.00	10.382	0.096319	6.4266	10.279	145.37	22.109	35.339	552.15	-0.010628	29.539	0.049170	supercritical
373.00	450.00	11.280	0.088652	6.3161	10.305	144.20	22.224	35.554	575.81	-0.018590	30.872	0.051631	supercritical
373.00	500.00	12.107	0.082595	6.2150	10.345	143.16	22.335	35.715	599.29	-0.025293	32.218	0.054068	supercritical
