Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	100.00	3.9883	0.25074	5.6707	8.1781	151.74	21.426	33.474	379.52	0.13706	19.920	0.031138	supercritical
300.00	150.00	5.8629	0.17056	5.4151	7.9735	147.64	21.671	35.198	400.74	0.10194	21.329	0.034345	supercritical
300.00	200.00	7.5870	0.13181	5.1827	7.8188	144.63	21.882	36.475	425.96	0.071625	22.957	0.037647	supercritical
300.00	250.00	9.1397	0.10941	4.9752	7.7105	142.28	22.068	37.340	453.85	0.046633	24.738	0.041027	supercritical
300.00	300.00	10.523	0.095031	4.7915	7.6424	140.35	22.235	37.884	483.18	0.026565	26.612	0.044428	supercritical
300.00	350.00	11.751	0.085100	4.6291	7.6076	138.74	22.390	38.202	513.06	0.010617	28.529	0.047794	supercritical
300.00	400.00	12.843	0.077861	4.4855	7.5999	137.36	22.536	38.370	542.85	-0.0020682	30.457	0.051087	supercritical
300.00	450.00	13.820	0.072361	4.3577	7.6140	136.16	22.675	38.442	572.18	-0.012221	32.375	0.054295	supercritical
300.00	500.00	14.697	0.068040	4.2437	7.6456	135.10	22.810	38.456	600.81	-0.020412	34.273	0.057420	supercritical
