Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
350.00	100.00	3.4771	0.28760	3.8799	6.7559	118.55	12.923	24.078	366.38	0.19667	28.014	0.023901	supercritical
350.00	150.00	5.1963	0.19245	3.6464	6.5331	114.58	13.118	25.584	379.44	0.16274	29.605	0.026108	supercritical
350.00	200.00	6.8575	0.14583	3.4240	6.3405	111.65	13.292	26.881	394.99	0.13143	31.439	0.028324	supercritical
350.00	250.00	8.4334	0.11858	3.2156	6.1800	109.32	13.447	27.922	412.63	0.10345	33.461	0.030545	supercritical
350.00	300.00	9.9061	0.10095	3.0228	6.0512	107.39	13.588	28.707	431.86	0.079106	35.616	0.032783	supercritical
350.00	350.00	11.268	0.088747	2.8459	5.9520	105.76	13.716	29.265	452.19	0.058294	37.855	0.035042	supercritical
350.00	400.00	12.519	0.079877	2.6844	5.8795	104.35	13.836	29.639	473.16	0.040689	40.138	0.037312	supercritical
350.00	450.00	13.666	0.073176	2.5374	5.8303	103.12	13.949	29.872	494.39	0.025857	42.437	0.039577	supercritical
350.00	500.00	14.716	0.067956	2.4035	5.8013	102.03	14.057	30.002	515.62	0.013359	44.734	0.041826	supercritical
