Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
350.00	100.00	3.3463	0.29884	6.8245	9.8129	156.78	21.290	32.076	409.27	0.094041	21.740	0.033417	supercritical
350.00	150.00	4.9040	0.20392	6.6206	9.6793	152.90	21.476	33.247	428.22	0.070047	22.789	0.036008	supercritical
350.00	200.00	6.3552	0.15735	6.4324	9.5795	150.07	21.644	34.185	449.65	0.048940	23.976	0.038638	supercritical
350.00	250.00	7.6913	0.13002	6.2606	9.5110	147.83	21.798	34.906	472.88	0.030890	25.273	0.041301	supercritical
350.00	300.00	8.9129	0.11220	6.1045	9.4704	146.00	21.941	35.441	497.25	0.015730	26.652	0.043994	supercritical
350.00	350.00	10.026	0.099740	5.9631	9.4540	144.44	22.075	35.829	522.25	0.0031231	28.085	0.046696	supercritical
350.00	400.00	11.040	0.090576	5.8350	9.4581	143.09	22.203	36.106	547.48	-0.0073232	29.552	0.049388	supercritical
350.00	450.00	11.966	0.083568	5.7189	9.4794	141.91	22.325	36.302	572.62	-0.015987	31.036	0.052052	supercritical
350.00	500.00	12.814	0.078040	5.6132	9.5152	140.86	22.443	36.437	597.50	-0.023201	32.527	0.054678	supercritical
