Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
373.00	100.00	3.2322	0.30939	4.2097	7.3035	120.07	12.860	23.565	378.23	0.17267	29.164	0.024706	supercritical
373.00	150.00	4.8162	0.20763	3.9979	7.1124	116.19	13.030	24.824	390.85	0.14375	30.580	0.026753	supercritical
373.00	200.00	6.3466	0.15756	3.7960	6.9473	113.33	13.186	25.922	405.48	0.11701	32.199	0.028797	supercritical
373.00	250.00	7.8042	0.12814	3.6057	6.8091	111.06	13.327	26.832	421.80	0.092904	33.977	0.030825	supercritical
373.00	300.00	9.1763	0.10898	3.4283	6.6976	109.18	13.457	27.550	439.46	0.071623	35.874	0.032850	supercritical
373.00	350.00	10.457	0.095632	3.2641	6.6112	107.58	13.577	28.093	458.08	0.053125	37.852	0.034881	supercritical
373.00	400.00	11.645	0.085872	3.1127	6.5476	106.20	13.691	28.490	477.32	0.037205	39.879	0.036920	supercritical
373.00	450.00	12.745	0.078464	2.9735	6.5043	104.98	13.798	28.768	496.89	0.023574	41.931	0.038963	supercritical
373.00	500.00	13.761	0.072668	2.8455	6.4789	103.90	13.901	28.954	516.55	0.011918	43.991	0.041002	supercritical
