Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	100.00	4.1955	0.23835	3.1284	5.5119	114.72	13.145	25.892	338.42	0.26066	25.576	0.022263	supercritical
300.00	150.00	6.3383	0.15777	2.8272	5.1937	110.45	13.420	28.321	353.06	0.20968	27.758	0.025012	supercritical
300.00	200.00	8.4070	0.11895	2.5423	4.9212	107.27	13.650	30.290	372.04	0.16315	30.337	0.027870	supercritical
300.00	250.00	10.333	0.096773	2.2810	4.7003	104.75	13.840	31.667	394.50	0.12313	33.194	0.030836	supercritical
300.00	300.00	12.080	0.082780	2.0467	4.5301	102.69	14.002	32.491	419.29	0.090147	36.209	0.033869	supercritical
300.00	350.00	13.639	0.073318	1.8391	4.4052	100.98	14.144	32.893	445.29	0.063546	39.287	0.036903	supercritical
300.00	400.00	15.022	0.066569	1.6559	4.3186	99.528	14.273	33.011	471.65	0.042247	42.365	0.039881	supercritical
300.00	450.00	16.249	0.061542	1.4941	4.2635	98.279	14.396	32.955	497.78	0.025166	45.408	0.042777	supercritical
300.00	500.00	17.342	0.057663	1.3507	4.2339	97.188	14.513	32.805	523.31	0.011391	48.398	0.045582	supercritical
