Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	100.00	4.2056	0.23778	5.6024	7.9802	164.99	21.790	34.749	339.35	0.20332	23.128	0.031198	supercritical
300.00	150.00	6.3622	0.15718	5.2887	7.6464	160.68	22.083	37.320	351.70	0.16723	24.858	0.034625	supercritical
300.00	200.00	8.4481	0.11837	4.9919	7.3593	157.46	22.324	39.424	369.14	0.13253	26.948	0.038406	supercritical
300.00	250.00	10.393	0.096215	4.7194	7.1247	154.90	22.521	40.917	390.80	0.10167	29.355	0.042316	supercritical
300.00	300.00	12.158	0.082248	4.4746	6.9420	152.82	22.684	41.829	415.39	0.075699	31.984	0.046188	supercritical
300.00	350.00	13.734	0.072810	4.2575	6.8058	151.07	22.823	42.292	441.69	0.054528	34.734	0.049930	supercritical
300.00	400.00	15.133	0.066082	4.0657	6.7090	149.60	22.947	42.453	468.69	0.037520	37.523	0.053516	supercritical
300.00	450.00	16.374	0.061074	3.8960	6.6443	148.32	23.060	42.428	495.74	0.023891	40.296	0.056951	supercritical
300.00	500.00	17.480	0.057209	3.7453	6.6057	147.21	23.165	42.298	522.42	0.012918	43.022	0.060252	supercritical
